model,RMSE,MAE,R2,CMAPSS
LINEAR,20.545013887223263,15.886913268886707,0.7579077442973876,33565.41441488011
RF,18.690369526519618,13.819309697557616,0.7996433348399709,43449.73364296636
LSTM,16.591589835560796,12.204377174377441,0.8421138525009155,25629.32421875
