model,Accuracy,F1,ROC-AUC,PR-AUC
LOGISTIC,0.9280608715702098,0.8280044101433297,0.98875803734763,0.9537804512991651
LINEAR->flag,0.923218814848974,0.7342378292098962,0.9852953215844669,0.9382251554778057
RF->flag,0.9527323034355545,0.8573416840640222,0.9877278078643749,0.9525648323688395
LSTM->flag,0.9667973253400969,0.9058823529411765,0.9920816503957545,0.972602606200995
