epoch,train_mse,val_rmse
1,8722.95004038093,92.5944595336914
2,7871.100660218668,89.4185791015625
3,7343.249003374419,86.47593688964844
4,6866.08892586405,83.64077758789062
5,6409.814211014567,80.86903381347656
6,5988.23057018002,78.14562225341797
7,5580.830145957321,75.42305755615234
8,5178.528301921343,72.65795135498047
9,4803.5788834959185,69.97635650634766
10,4449.099051828352,67.32250213623047
11,4101.067155112455,64.69889831542969
12,3786.6537160010394,62.113609313964844
13,3478.6722429823803,59.61754608154297
14,3202.585076618677,57.135013580322266
15,2939.889346973787,54.65793991088867
16,2689.526620324665,52.2368278503418
17,2443.963571495903,49.88867950439453
18,2226.9951840246285,47.50913619995117
19,2012.8156403299454,45.18590545654297
20,1815.9611200581128,42.98902130126953
21,1642.0235031229936,40.96063995361328
22,1486.8047220530837,38.83915328979492
23,1336.1275755781032,36.75498962402344
24,1193.6480430853069,34.75344467163086
25,1061.640440740108,32.94127655029297
26,947.729638620125,31.02482795715332
27,849.9532016795824,29.453514099121094
28,769.5813326547182,28.14804458618164
29,690.3127800272666,26.631771087646484
30,617.9634633184781,25.332122802734375
31,557.505760612096,24.040870666503906
32,507.0126219916923,22.814332962036133
33,464.4651687898236,22.182758331298828
34,422.9094268933179,21.432424545288086
35,386.8037797202299,20.487171173095703
36,360.4335372927293,20.57219696044922
37,331.7315409504996,19.29911231994629
38,303.834884869961,19.347301483154297
39,278.9779848763979,19.23116111755371
40,259.1593182780081,18.528779983520508
41,244.5270829896602,17.563199996948242
42,231.43328999485604,17.968210220336914
43,214.7999535235149,17.638275146484375
44,199.48762030036264,17.05415153503418
45,183.96092189786953,17.357036590576172
46,175.7661038667289,16.59836196899414
47,167.1195402395739,16.621458053588867
48,154.98960498042894,17.683155059814453
49,153.90257083551347,16.568782806396484
50,136.42636493413536,16.572227478027344
51,132.86257551421198,16.517393112182617
52,122.87800415775504,16.107742309570312
53,115.06380655589432,15.799344062805176
54,108.21289742465278,16.888315200805664
55,106.41390409894116,16.479524612426758
56,102.44742512823453,15.710259437561035
57,92.9308418785206,16.052387237548828
58,91.75689577842525,15.878315925598145
59,87.29846505638282,16.474781036376953
60,84.37659279316222,16.08612632751465
